Bandit,Reward,Algorithm
3.0,5.302942168840575,ThompsonSampling
3.0,3.6645659321355946,ThompsonSampling
3.0,4.564854375095738,ThompsonSampling
3.0,3.733140831740817,ThompsonSampling
3.0,4.03481701527641,ThompsonSampling
3.0,4.28841088482924,ThompsonSampling
3.0,3.3798688127949896,ThompsonSampling
3.0,3.0980752130300715,ThompsonSampling
3.0,4.347359288455884,ThompsonSampling
3.0,3.575114917772262,ThompsonSampling
3.0,4.6753833543956125,ThompsonSampling
3.0,3.6307890405924375,ThompsonSampling
3.0,5.074162551523352,ThompsonSampling
3.0,2.7088265954024933,ThompsonSampling
3.0,3.9397287611285123,ThompsonSampling
3.0,2.300649322160701,ThompsonSampling
3.0,5.828734402112039,ThompsonSampling
3.0,4.761551991417269,ThompsonSampling
3.0,2.681935753976347,ThompsonSampling
3.0,2.446658797074206,ThompsonSampling
3.0,4.685056498094107,ThompsonSampling
3.0,1.9601446984886057,ThompsonSampling
3.0,4.851178118683603,ThompsonSampling
3.0,1.904904907645693,ThompsonSampling
3.0,4.413183728814192,ThompsonSampling
3.0,3.3594614717720193,ThompsonSampling
3.0,5.0364407872081856,ThompsonSampling
3.0,3.8767805949710135,ThompsonSampling
3.0,5.635076157644825,ThompsonSampling
3.0,3.9133994846903097,ThompsonSampling
3.0,3.988994779289081,ThompsonSampling
3.0,2.7536397213764565,ThompsonSampling
3.0,3.1663310096132995,ThompsonSampling
3.0,5.093800323473106,ThompsonSampling
3.0,4.914834692393217,ThompsonSampling
3.0,2.3933783944677316,ThompsonSampling
3.0,5.057623419600669,ThompsonSampling
3.0,4.829853340418927,ThompsonSampling
3.0,4.856753528962765,ThompsonSampling
3.0,4.430611286555005,ThompsonSampling
3.0,4.735262591763686,ThompsonSampling
3.0,3.1058365607883953,ThompsonSampling
3.0,4.683752456489859,ThompsonSampling
3.0,3.5188022698618036,ThompsonSampling
3.0,4.173386723495304,ThompsonSampling
3.0,4.585303655492353,ThompsonSampling
3.0,2.4760795976183,ThompsonSampling
3.0,1.4937567373391043,ThompsonSampling
3.0,5.106418217711426,ThompsonSampling
3.0,4.267332439803906,ThompsonSampling
3.0,3.2495687626818186,ThompsonSampling
3.0,3.7246755695819354,ThompsonSampling
3.0,4.963385123627122,ThompsonSampling
3.0,2.876590007534945,ThompsonSampling
3.0,5.754707617104056,ThompsonSampling
3.0,4.388541351718249,ThompsonSampling
3.0,4.179777329264493,ThompsonSampling
3.0,4.045593246881525,ThompsonSampling
3.0,5.5087037483272585,ThompsonSampling
3.0,4.973440153335139,ThompsonSampling
3.0,4.080265470469281,ThompsonSampling
